date,open,high,low,close,volume,value,board
2015-04-29,0.062,0.062,0.062,0.062,111338540000,6902989480,TQBR
2015-05-27,0.062,0.062,0.062,0.062,111338540000,6902989480,TQBR
2015-05-28,0.062,0.062,0.062,0.062,7467,462.95,SMAL
2015-06-19,0.062,0.0866,0.062,0.06301,5002240000,310166310.9,TQBR
2015-06-22,0.063,0.088,0.063,0.088,20000,1510,TQBR
2015-06-23,0.088,0.11,0.088,0.11,40000,4090.1,TQBR
2015-06-24,0.15,0.15351,0.15,0.15351,40000,6035.1,TQBR
2015-06-25,0.175,0.21477,0.1535,0.21477,640000,125578.2,TQBR
2015-06-26,0.30027,0.30027,0.15511,0.17997,5930000,1446842.7,TQBR
2015-06-29,0.18,0.18,0.1225,0.13,8470000,1145932.1,TQBR
2015-06-30,0.135,0.135,0.101,0.102,12920000,1397296.8,TQBR
2015-07-01,0.103,0.103,0.082,0.0845,15770000,1371296.5,TQBR
2015-07-02,0.08455,0.10009,0.072,0.0755,58040000,4806528.7,TQBR
2015-07-03,0.077,0.08,0.07,0.07003,15120000,1114955.3,TQBR
2015-07-06,0.07499,0.07499,0.069,0.07005,5420000,390329.8,TQBR
2015-07-07,0.0706,0.073,0.068,0.0718,1730000,123211.6,TQBR
2015-07-08,0.0718,0.0718,0.06757,0.06757,780000,53987.2,TQBR
2015-07-09,0.0715,0.0715,0.06601,0.06989,1350000,91197,TQBR
2015-07-10,0.06651,0.07178,0.06651,0.07164,1050000,73289,TQBR
2015-07-13,0.073,0.073,0.06805,0.07162,180000,12749.8,TQBR
2015-07-14,0.072,0.072,0.0686,0.0686,1660000,114644.2,TQBR
2015-07-15,0.06816,0.07199,0.06801,0.07141,1160000,82408.9,TQBR
2015-07-16,0.074,0.074,0.0705,0.07196,22020000,1569085.1,TQBR
2015-07-17,0.07777,0.07777,0.0705,0.0705,18620000,1313246.3,TQBR
2015-07-20,0.06955,0.0709,0.069,0.06965,2200000,152242.2,TQBR
2015-07-21,0.0705,0.07787,0.0691,0.06911,2400000,168091.6,TQBR
2015-07-22,0.071,0.071,0.068,0.06983,2450000,168172.1,TQBR
2015-07-23,0.0696,0.0701,0.0696,0.07,2480000,173792.7,TQBR
2015-07-24,0.07275,0.07275,0.068,0.07002,2710000,185312.2,TQBR
2015-07-27,0.06808,0.071,0.068,0.06976,7580000,520929.2,TQBR
2015-07-28,0.0697,0.06986,0.0681,0.069,370000,25361.4,TQBR
2015-07-29,0.07049,0.07049,0.067,0.06869,2580000,173450.2,TQBR
2015-07-30,0.06901,0.0705,0.06802,0.07001,62190000,4352303.6,TQBR
2015-07-31,0.06949,0.07052,0.06949,0.0705,520000,36292.3,TQBR
