date,open,high,low,close,volume,value,board
2023-09-25,199.04,210.0,155.0,160.0,297230,52540174.0,TQBR
2023-09-26,160.0,160.0,135.0,148.6,10667720,1552171114.6,TQBR
2023-09-27,145.1,154.0,145.0,150.04,2820490,421378923.4,TQBR
2023-09-28,150.4,205.34,149.16,200.5,26933090,5042425723.0,TQBR
2023-09-29,200.58,253.2,200.18,216.02,29343240,6953763831.2,TQBR
2023-10-02,218.04,233.6,203.0,207.92,7718710,1687837087.2,TQBR
2023-10-03,207.92,208.48,191.1,195.22,5912130,1170027386.0,TQBR
2023-10-04,196.0,196.0,189.12,195.0,2374920,456456386.8,TQBR
2023-10-05,198.5,210.3,196.0,198.62,8795760,1795024362.2,TQBR
2023-10-06,199.8,201.54,192.02,196.98,2744040,538320834.0,TQBR
2023-10-09,198.54,202.3,193.12,196.04,2870150,565182908.8,TQBR
2023-10-10,196.88,197.0,190.04,192.88,1796990,346474662.6,TQBR
2023-10-11,193.0,193.98,190.7,191.36,737940,141824803.6,TQBR
2023-10-12,190.5,190.56,184.02,184.4,2024440,378954844.6,TQBR
2023-10-13,185.1,192.58,181.0,187.02,2982860,554757382.2,TQBR
2023-10-16,187.98,191.44,179.16,180.04,3709180,676456640.8,TQBR
2023-10-17,179.98,179.98,170.34,171.0,3128070,542487304.2,TQBR
2023-10-18,171.8,171.8,165.8,167.9,1733200,290543078.8,TQBR
2023-10-19,165.9,179.72,165.82,173.7,4976620,870658451.2,TQBR
2023-10-20,178.78,180.0,169.16,170.5,2766980,480317340.4,TQBR
2023-10-23,178.88,180.0,170.88,176.6,6600150,1160620283.0,TQBR
2023-10-24,176.7,177.3,172.42,175.6,1785600,311402997.0,TQBR
2023-10-25,174.8,176.48,173.5,174.7,847430,148153200.0,TQBR
2023-10-26,174.9,175.2,167.08,168.78,1510910,258138811.4,TQBR
2023-10-27,166.7,171.12,163.14,164.14,1655300,275454619.4,TQBR
2023-10-30,164.5,164.92,160.2,160.76,2234980,361460769.0,TQBR
2023-10-31,161.0,162.64,152.02,162.42,3368080,526792330.6,TQBR
2023-11-01,164.0,164.0,153.46,157.6,2689270,422521370.8,TQBR
2023-11-02,158.8,160.3,154.0,155.88,1283630,201000433.6,TQBR
2023-11-03,156.1,157.6,152.16,154.0,1010910,156718453.0,TQBR
2023-11-06,154.52,161.94,154.5,160.6,3185760,508313928.6,TQBR
2023-11-07,160.1,163.64,156.0,158.48,2651330,421444728.0,TQBR
2023-11-08,158.8,158.8,155.02,156.3,822390,128754593.6,TQBR
2023-11-09,159.0,164.78,158.02,162.6,6093540,981145426.6,TQBR
2023-11-10,163.0,166.72,156.8,159.48,4372560,706664192.2,TQBR
2023-11-13,160.0,160.0,144.52,152.6,6077380,927331647.8,TQBR
2023-11-14,152.18,152.18,144.5,147.3,2615800,384589398.0,TQBR
2023-11-15,146.5,154.5,142.04,154.5,2631140,396852971.4,TQBR
2023-11-16,154.84,155.9,150.18,151.0,1226230,186558349.0,TQBR
2023-11-17,151.0,151.44,147.52,150.0,886230,132561975.0,TQBR
2023-11-20,151.48,161.0,150.54,160.98,3025210,470704453.0,TQBR
2023-11-21,162.0,162.5,156.0,160.48,2023320,321552193.4,TQBR
2023-11-22,160.48,160.74,157.1,159.7,862340,136825309.2,TQBR
2023-11-23,158.68,160.0,152.0,152.84,1403600,219015661.2,TQBR
2023-11-24,154.76,155.34,149.2,151.66,836300,127207128.4,TQBR
2023-11-27,152.12,153.26,148.5,149.24,885370,132937242.8,TQBR
2023-11-28,149.1,154.4,147.8,152.88,970660,146518290.8,TQBR
2023-11-29,148.0,150.88,143.5,144.66,2156940,315846772.4,TQBR
2023-11-30,144.9,147.9,142.12,143.76,1118510,160724952.4,TQBR
2023-12-01,143.76,144.46,141.12,141.3,548510,78214099.6,TQBR
2023-12-04,143.56,143.7,141.0,141.66,812510,115448852.8,TQBR
2023-12-05,141.9,142.9,140.2,141.32,703530,99059375.4,TQBR
2023-12-06,141.32,141.54,140.02,140.06,1329030,186525103.0,TQBR
2023-12-07,140.1,145.0,132.68,139.5,4390030,607954796.8,TQBR
2023-12-08,140.0,141.96,136.44,139.18,877420,121949862.0,TQBR
2023-12-11,140.5,141.48,134.28,137.0,782700,106955790.8,TQBR
2023-12-12,137.0,138.9,133.44,135.82,816480,110946850.8,TQBR
2023-12-13,135.82,138.38,133.58,135.3,581080,78607503.8,TQBR
2023-12-14,135.04,136.4,130.52,135.92,902170,120844821.0,TQBR
2023-12-15,131.8,136.18,131.8,135.5,777190,104671247.0,TQBR
2023-12-18,136.62,146.86,135.5,144.84,2391550,338994665.4,TQBR
2023-12-19,147.5,149.06,142.02,143.82,1938470,279410896.4,TQBR
2023-12-20,146.6,149.88,145.02,147.16,3402430,500920752.4,TQBR
2023-12-21,146.18,148.0,143.36,147.34,2317140,338036185.2,TQBR
2023-12-22,147.6,149.92,146.0,149.22,1992270,295793648.6,TQBR
2023-12-25,151.0,152.72,148.66,150.42,1710490,256805232.4,TQBR
2023-12-26,150.8,150.84,146.6,148.84,1043630,154686812.8,TQBR
