date,open,high,low,close,volume,value,board
2007-06-09,0.0086,0.0086,0.0086,0.0086,2379000,20459.4,EQNE
2007-06-13,0.0079,0.0079,0.0079,0.0079,1000,7.9,EQNE
2007-06-14,0.0086,0.0086,0.0086,0.0086,6000,51.6,EQNE
2007-06-27,0.008,0.009,0.0079,0.008,758000,6347.8,EQNE
2007-06-28,0.0085,0.0086,0.0085,0.0086,5000,42.6,EQNE
2007-06-29,0.0086,0.0086,0.0086,0.0086,32000,275.2,EQNE
2007-07-03,0.0085,0.0085,0.0085,0.0085,1000,8.5,EQNE
2007-07-05,0.0085,0.0086,0.008,0.0086,92000,784.8,EQNE
2007-07-09,0.0085,0.0085,0.0085,0.0085,2000,17,EQNE
2007-07-10,0.0085,0.0086,0.0084,0.0086,4612000,39625.8,EQNE
2007-07-11,0.008,0.0085,0.008,0.0085,33000,265.9,EQNE
2007-07-12,0.008,0.0083,0.0079,0.0083,4397000,35108.3,EQNE
2007-07-16,0.0084,0.0084,0.0084,0.0084,27000,226.8,EQNE
2007-07-17,0.0079,0.0079,0.0078,0.0078,1395000,10881.2,EQNE
2007-07-18,0.008,0.008,0.0077,0.008,1010000,7798.5,EQNE
2007-07-24,0.0077,0.0077,0.0077,0.0077,5000,38.5,EQNE
2007-07-25,0.008,0.0086,0.008,0.0086,2450000,20434,EQNE
2007-07-26,0.0077,0.0083,0.0064,0.0083,2057000,15722.2,EQNE
2007-07-27,0.007,0.007,0.007,0.007,1000,7,EQNE
2007-07-31,0.0076,0.008,0.0074,0.0078,788000,6073.3,EQNE
2007-08-01,0.0073,0.0073,0.0072,0.0072,621000,4481.2,EQNE
2007-08-02,0.0071,0.0072,0.0071,0.0072,800000,5690,EQNE
2007-08-03,0.0074,0.0074,0.0074,0.0074,521000,3855.4,EQNE
2007-08-06,0.0073,0.0073,0.0073,0.0073,1000,7.3,EQNE
