date,open,high,low,close,volume,value,board
2005-09-14,6.75,9.3,6.75,8.99,10900,89228.0,EQNE
2005-09-16,8.2,9.99,6.6,9.99,34800,283627.0,EQNE
2005-09-19,9.99,12.8,9.99,12.7,6600,75609.0,EQNE
2005-09-20,12.9,15.0,12.9,14.9,10700,154091.0,EQNE
2005-09-21,15.0,21.0,14.95,17.9,25700,448067.0,EQNE
2005-09-22,18.0,22.5,18.0,21.9,15600,303605.0,EQNE
2005-09-23,18.0,18.0,18.0,18.0,100,1800.0,EQNE
2005-09-26,13.01,13.01,13.0,13.0,200,2601.0,EQNE
2005-09-28,16.0,16.1,12.65,16.1,400,6080.0,EQNE
2005-09-29,18.0,18.1,12.65,16.1,9600,154605.0,EQNE
2005-09-30,13.0,13.0,12.65,12.65,200,2565.0,EQNE
2005-10-03,17.5,18.0,17.5,18.0,200,3550.0,EQNE
2005-10-10,14.0,14.0,14.0,14.0,100,1400.0,EQNE
2005-10-11,13.0,13.0,13.0,13.0,1000,13000.0,EQNE
2005-11-02,12.65,12.65,12.65,12.65,100,1265.0,EQNE
2005-12-12,12.65,12.65,12.65,12.65,300,3795.0,EQNE
2005-12-14,12.65,12.65,12.65,12.65,100,1265.0,EQNE
2005-12-15,12.65,12.65,12.65,12.65,100,1265.0,EQNE
2005-12-20,12.65,12.65,12.65,12.65,100,1265.0,EQNE
2005-12-21,12.65,12.65,12.65,12.65,100,1265.0,EQNE
2005-12-22,12.65,12.7,12.65,12.7,2200,27930.0,EQNE
2005-12-26,12.65,12.7,12.65,12.7,12500,158525.0,EQNE
2005-12-27,12.65,12.79,12.65,12.67,23600,299100.0,EQNE
2005-12-28,12.65,12.65,12.65,12.65,5000,63250.0,EQNE
2005-12-29,12.95,12.95,12.95,12.95,100,1295.0,EQNE
2005-12-30,12.87,12.87,12.87,12.87,4300,55341.0,EQNE
2006-01-10,12.99,12.99,12.65,12.65,200,2564.0,EQNE
2006-01-11,12.7,12.98,12.65,12.98,21000,267705.0,EQNE
2006-01-12,13.1,13.1,13.1,13.1,100,1310.0,EQNE
2006-01-13,12.65,12.9,12.65,12.89,89600,1134146.0,EQNE
2006-01-16,12.51,12.51,12.51,12.51,100,1251.0,EQNE
2006-01-17,12.8,12.8,12.42,12.78,4400,54982.0,EQNE
2006-01-18,12.78,12.9,12.78,12.9,4300,55110.0,EQNE
2006-01-20,12.37,12.85,12.1,12.85,6900,84462.0,EQNE
2006-01-24,12.5,12.84,11.85,12.84,14800,177502.0,EQNE
2006-01-25,11.77,11.77,11.77,11.77,200,2354.0,EQNE
2006-01-26,11.82,12.3,11.82,11.82,16600,197100.0,EQNE
2006-01-27,11.7,11.7,11.7,11.7,35000,409500.0,EQNE
2006-01-31,11.7,11.75,11.7,11.75,40900,480495.0,EQNE
2006-02-01,11.55,12.2,11.55,11.75,31500,383545.0,EQNE
2006-02-03,12.5,13.2,12.5,13.15,196400,2562716.0,EQNE
2006-02-07,12.0,12.9,12.0,12.9,10700,133171.0,EQNE
2006-02-22,13.01,13.01,13.01,13.01,100,1301.0,EQNE
2006-02-26,9.77,9.77,9.77,9.77,300,2931.0,EQNE
2006-02-28,14.5,14.5,12.2,12.2,800,11140.0,EQNE
2006-03-02,16.0,17.5,15.0,17.5,2500,40093.0,EQNE
2006-03-03,17.2,17.75,17.2,17.75,700,12095.0,EQNE
2006-03-06,17.75,17.75,17.75,17.75,100,1775.0,EQNE
2006-03-09,8.55,8.55,8.55,8.55,100,855.0,EQNE
2006-03-14,8.55,8.55,8.55,8.55,1500,12825.0,EQNE
2006-03-15,12.0,15.1,12.0,15.1,1600,23795.0,EQNE
2006-03-16,8.55,17.75,8.55,16.66,26900,332382.0,EQNE
2006-03-17,13.0,13.0,13.0,13.0,100,1300.0,EQNE
2006-03-20,9.73,16.69,9.73,16.69,6000,97507.0,EQNE
2006-03-21,16.6,17.6,16.6,17.6,6000,103312.0,EQNE
2006-03-22,16.69,16.69,16.69,16.69,100,1669.0,EQNE
2006-03-23,16.69,16.69,16.69,16.69,100,1669.0,EQNE
2006-03-28,16.69,17.6,16.69,17.6,3600,62209.0,EQNE
2006-03-29,16.69,18.3,16.69,18.3,16800,301840.0,EQNE
2006-03-31,17.5,18.03,17.5,18.03,9300,165400.0,EQNE
2006-04-03,11.66,20.0,11.66,19.0,7400,123130.0,EQNE
2006-04-04,20.0,20.0,20.0,20.0,1000,20000.0,EQNE
2006-04-05,20.0,20.0,20.0,20.0,200,4000.0,EQNE
2006-04-06,20.0,20.0,11.66,19.8,2800,48028.0,EQNE
2006-04-07,19.8,19.8,19.8,19.8,600,11880.0,EQNE
2006-04-10,12.0,20.0,11.66,20.0,11500,162548.0,EQNE
2006-04-11,17.5,20.0,17.5,19.0,17800,332055.0,EQNE
2006-04-13,19.9,19.98,19.9,19.98,1100,21938.0,EQNE
2006-04-17,19.0,19.0,19.0,19.0,37000,703000.0,EQNE
2006-04-18,19.0,19.0,19.0,19.0,1800,34200.0,EQNE
2006-04-19,18.11,19.0,12.363,19.0,46800,805466.0,EQNE
2006-04-20,19.0,19.0,19.0,19.0,8600,163400.0,EQNE
2006-04-21,17.56,19.0,12.501,19.0,49800,841835.0,EQNE
2006-04-24,19.0,19.0,19.0,19.0,1000,19000.0,EQNE
2006-05-02,17.75,17.75,17.75,17.75,800,14200.0,EQNE
2006-05-03,17.5,18.0,12.501,18.0,22700,287486.5,EQNE
2006-05-04,16.1,16.1,16.1,16.1,100,1610.0,EQNE
2006-05-05,16.0,17.0,16.0,17.0,46900,762235.0,EQNE
2006-05-10,17.551,17.551,17.551,17.551,21200,372081.2,EQNE
2006-05-11,16.05,17.5,11.0,17.5,54600,755520.9,EQNE
2006-05-17,17.5,17.75,17.5,17.75,70000,1230000.0,EQNE
2006-05-18,15.25,16.8,11.5,16.8,37000,457839.7,EQNE
2006-05-19,16.0,16.8,16.0,16.8,10600,169760.0,EQNE
2006-05-22,15.001,15.001,15.001,15.001,10600,159010.6,EQNE
2006-05-23,15.0,15.0,15.0,15.0,20000,300000.0,EQNE
2006-05-24,17.5,17.5,17.5,17.5,100,1750.0,EQNE
2006-05-31,17.0,17.0,17.0,17.0,100,1700.0,EQNE
2006-06-06,16.0,16.07,16.0,16.07,2200,35214.0,EQNE
2006-07-24,12.0,14.0,10.75,14.0,66100,785535.9,EQNE
2006-07-25,14.0,14.0,14.0,14.0,10000,140000.0,EQNE
2006-08-31,17.5,17.5,17.5,17.5,1000,17500.0,EQNE
2006-09-01,18.0,18.0,18.0,18.0,1100,19800.0,EQNE
2006-09-06,18.386,18.386,18.386,18.386,1100,20224.6,EQNE
2006-09-07,18.386,19.0,18.386,19.0,30100,554635.8,EQNE
2006-09-19,19.0,19.0,19.0,19.0,2700,51300.0,EQNE
2006-11-23,20.0,20.0,20.0,20.0,300,6000.0,EQNE
2006-11-27,23.3,23.5,23.3,23.5,20400,479319.7,EQNE
2006-12-11,24.6,24.6,24.6,24.6,6000,147600.0,EQNE
2006-12-28,24.0,24.0,24.0,24.0,20000,480000.0,EQNE
2007-01-18,24.0,27.0,24.0,27.0,2500,61500.0,EQNE
2007-01-24,26.3,26.3,26.3,26.3,4700,123610.0,EQNE
2007-02-01,28.0,32.493,28.0,32.493,25300,709747.9,EQNE
2007-02-06,34.897,35.0,34.897,35.0,31800,1112327.9,EQNE
2007-02-07,38.0,44.793,37.0,41.999,26400,1006577.6,EQNE
2007-02-08,41.999,42.0,40.5,40.5,2200,90549.3,EQNE
2007-02-09,40.999,42.0,40.999,42.0,1000,41899.8,EQNE
2007-02-12,36.8,36.8,36.4,36.4,400,14600.0,EQNE
2007-02-13,36.101,38.55,36.101,38.55,300,11320.1,EQNE
2007-02-14,36.5,36.5,36.5,36.5,200,7300.0,EQNE
2007-02-15,36.101,39.999,36.101,39.999,5700,222188.6,EQNE
2007-02-16,39.997,40.999,39.997,40.999,4800,192305.8,EQNE
2007-02-19,40.999,40.999,38.51,38.51,2400,94410.6,EQNE
2007-02-20,40.999,40.999,40.0,40.0,300,12199.8,EQNE
2007-02-21,40.999,40.999,40.999,40.999,100,4099.9,EQNE
2007-02-22,41.0,41.8,41.0,41.8,2600,106970.0,EQNE
2007-02-26,43.0,43.0,42.5,43.0,43000,1848950.0,EQNE
2007-02-27,43.0,43.0,41.0,41.0,6600,270966.1,EQNE
2007-02-28,40.0,41.0,38.0,39.0,50900,1935600.0,EQNE
