date,open,high,low,close,volume,value,board
2005-12-08,10.0,10.0,10.0,10.0,100,1000.0,EQNE
2005-12-14,8.5,8.5,8.5,8.5,100,850.0,EQNE
2005-12-15,7.24,7.24,7.24,7.24,100,724.0,EQNE
2005-12-16,7.05,7.5,7.05,7.5,19000,133995.0,EQNE
2006-01-11,8.5,8.5,8.5,8.5,100,850.0,EQNE
2006-01-24,8.0,8.0,8.0,8.0,100,800.0,EQNE
2006-02-03,7.0,7.22,7.0,7.22,500,3588.0,EQNE
2006-03-03,10.0,10.0,10.0,10.0,18500,185000.0,EQNE
2006-03-06,10.0,10.0,10.0,10.0,100,1000.0,EQNE
2006-03-10,7.19,7.19,7.19,7.19,18000,129420.0,EQNE
2006-03-13,7.19,7.19,7.19,7.19,100,719.0,EQNE
2006-03-21,9.0,9.0,9.0,9.0,600,5400.0,EQNE
2006-03-22,7.31,7.31,7.31,7.31,12900,94299.0,EQNE
2006-04-25,7.19,9.0,7.19,9.0,6900,54679.0,EQNE
2006-07-28,9.0,9.0,9.0,9.0,19500,175500.0,EQNE
2006-08-03,9.1,9.1,9.1,9.1,19500,177450.0,EQNE
2006-08-04,11.0,11.0,11.0,11.0,19500,214500.0,EQNE
2006-08-31,11.0,11.0,11.0,11.0,18400,202400.0,EQNE
2006-09-08,9.0,9.0,9.0,9.0,100,900.0,EQNE
