date,open,high,low,close,volume,value,board
2012-11-14,7.788,7.788,7.788,7.788,15,116.82,SMAL
2012-11-16,7.788,7.788,7.788,7.788,3000,23364,EQNE
2012-11-23,5,6.7,5,6.7,3000,16700,EQNE
2012-12-03,5.3,8,5.3,8.0,2000,13300,EQNE
2012-12-12,6.4,6.4,6,6.0,34000,204400,EQNE
2012-12-13,6.029,6.029,6.029,6.029,34000,204986,EQNE
2012-12-17,8.441,8.441,8.441,8.441,1000,8441,EQNE
2012-12-28,11.817,11.817,11.817,11.817,3000,35451,EQNE
2013-01-18,16.544,16.544,16.544,16.544,1000,16544,EQNE
2013-01-21,23.162,23.162,23.162,23.162,1000,23162,EQNE
2013-01-28,23.162,23.162,23.162,23.162,1000,23162,EQNE
2013-01-29,32.427,32.427,32.427,32.427,2000,64854,EQNE
2013-01-30,32.427,32.427,32.427,32.427,1000,32427,EQNE
2013-01-31,32.427,32.427,32.427,32.427,2000,64854,EQNE
2013-02-01,32.427,32.427,32.427,32.427,3000,97281,EQNE
2013-02-06,32.427,32.427,32.427,32.427,1000,32427,EQNE
2013-02-07,33.45,33.45,33.45,33.45,32000,1070400,EQNE
2013-02-13,33.45,33.45,33.45,33.45,2000,66900,EQNE
2013-02-20,33.5,33.5,33.3,33.3,9000,300300,EQNE
2013-02-21,33.25,33.25,33.25,33.25,7000,232750,EQNE
2013-02-25,33.25,33.25,33.25,33.25,11000,365750,EQNE
2013-03-04,29.2,29.2,29.2,29.2,225,6570,SMAL
2013-03-25,29.96,29.96,29.5,29.5,5000,148920,EQNE
2013-03-26,29.8,29.8,29.5,29.5,22000,649600,EQNE
