date,open,high,low,close,volume,value,board
2012-02-16,10.2,10.2,10.2,10.2,8400,85680,EQNE
2012-02-17,10.25,10.25,10.25,10.25,17400,178350,EQNE
2012-02-20,10.27,10.27,10.27,10.27,19000,195130,EQNE
2012-02-21,10.2,10.2,10.2,10.2,32500,331500,EQNE
2012-02-22,10.2,10.2,10.2,10.2,20300,207060,EQNE
2012-09-27,10.2,10.2,10.2,10.2,26500,270300,EQNE
2012-09-28,10.2,10.2,10.2,10.2,33500,341700,EQNE
2012-11-22,10.15,10.15,10.15,10.15,60000,609000,EQNE
2012-12-24,10.12,10.12,10.12,10.12,5000,50600,EQNE
2013-06-07,10.2,10.2,10.2,10.2,7600,77520,EQNE
2013-06-10,10.2,10.2,10.2,10.2,15900,162180,EQNE
2013-06-13,10.2,10.2,10.2,10.2,26800,273360,EQNE
2013-06-14,10.2,10.2,10.2,10.2,17700,180540,EQNE
2013-06-17,10.2,10.2,10.2,10.2,30000,306000,EQNE
2013-10-28,10.3,10.3,10.3,10.3,23500,242050,TQNE
2013-10-29,10.3,10.3,10.3,10.3,44300,456290,TQNE
2014-01-20,10.2,10.2,10.2,10.2,13100,133620,TQNE
2014-01-21,10.2,10.2,10.2,10.2,34500,351900,TQNE
2014-01-22,10.2,10.2,10.2,10.2,9600,97920,TQNE
2014-04-21,10.6,10.6,10.6,10.6,31000,328600,TQNE
2014-04-22,10.6,10.6,10.6,10.6,26000,275600,TQNE
2014-04-23,10.35,10.35,10.35,10.35,13000,134550,TQNE
2014-04-24,10.35,10.35,10.35,10.35,15900,164565,TQNE
