date,open,high,low,close,volume,value,board
2005-11-28,7.9,8.02,7.9,8.02,100000,800800,EQNE
2005-12-08,11.5,13,11.5,13.0,30600,372500,EQNE
2005-12-15,13,13,13,13.0,100,1300,EQNE
2005-12-19,13,13,13,13.0,2800,36400,EQNE
2005-12-22,12.38,12.38,12.38,12.38,100,1238,EQNE
2005-12-27,12.99,13,12.99,13.0,13700,178093,EQNE
2005-12-28,13,13,13,13.0,300,3900,EQNE
2005-12-29,13.5,13.5,13.5,13.5,100,1350,EQNE
2006-01-10,14.5,14.5,14.5,14.5,10000,145000,EQNE
2006-01-30,14.5,14.5,14.5,14.5,4100,59450,EQNE
2006-02-03,14,14,14,14.0,40000,560000,EQNE
2006-02-07,14.9,14.99,14.9,14.99,40000,597900,EQNE
2006-02-10,15,15,15,15.0,1200,18000,EQNE
2006-02-13,15,15,15,15.0,2100,31500,EQNE
2006-02-14,16.66,16.66,16.66,16.66,14100,234906,EQNE
2006-02-17,15,19.5,15,19.5,54100,964950,EQNE
2006-02-21,18.7,18.7,18.7,18.7,20000,374000,EQNE
2006-02-22,18.2,18.2,18.2,18.2,1200,21840,EQNE
2006-02-27,20,20,20,20.0,20000,400000,EQNE
2006-02-28,20.2,20.2,20.2,20.2,20000,404000,EQNE
2006-03-07,17,17,17,17.0,600,10200,EQNE
2006-03-21,21.5,21.5,21.5,21.5,1200,25800,EQNE
2006-03-22,25,25,25,25.0,1500,37500,EQNE
2006-03-23,25,25,25,25.0,600,15000,EQNE
2006-03-24,25,25.1,25,25.1,18100,452520,EQNE
2006-03-28,25.1,25.1,25.1,25.1,500,12550,EQNE
2006-03-29,22,22,22,22.0,10000,220000,EQNE
2006-03-30,24,24,24,24.0,10000,240000,EQNE
2006-03-31,26,26,26,26.0,10000,260000,EQNE
