date,open,high,low,close,volume,value,board
2006-03-22,4.0,4.1,4.0,4.1,15100,61860.0,EQNE
2006-04-27,4.0,4.0,4.0,4.0,100,400.0,EQNE
2006-07-28,5.0,5.0,5.0,5.0,400,2000.0,EQNE
2006-10-06,4.9,6.4,4.9,6.4,70200,381780.0,EQNE
2006-11-02,6.7,9.5,6.7,9.5,25000,167946.0,EQNE
2006-11-21,5.0,5.0,4.3,4.3,49900,214780.0,EQNE
2006-11-27,5.0,5.0,5.0,5.0,300,1500.0,EQNE
2006-11-30,8.9,8.9,4.602,5.2,4400,30313.1,EQNE
2006-12-05,8.795,8.9,5.601,8.79,12900,94988.0,EQNE
2006-12-06,8.79,8.79,6.001,7.89,800,6147.0,EQNE
2006-12-07,8.9,8.9,6.001,6.585,7800,58835.0,EQNE
2006-12-08,8.5,8.5,6.006,6.006,800,5802.4,EQNE
2006-12-11,8.0,8.0,6.7,6.7,1200,9080.0,EQNE
2006-12-12,6.501,6.501,6.501,6.501,100,650.1,EQNE
2006-12-13,7.99,10.0,7.99,10.0,142700,1302566.3,EQNE
2006-12-14,11.0,11.99,10.33,11.2,149500,1656184.7,EQNE
2006-12-15,10.0,13.0,7.7,11.0,29800,326404.0,EQNE
2006-12-18,10.717,10.99,7.71,9.0,20800,179655.7,EQNE
2006-12-19,8.9,11.489,8.499,9.9,43800,438413.6,EQNE
2006-12-20,9.9,9.9,7.8,8.395,87600,741284.4,EQNE
2006-12-21,8.9,11.0,7.0,8.235,186600,1575061.0,EQNE
2006-12-22,8.8,8.8,7.0,7.38,33100,235359.6,EQNE
2006-12-25,7.0,7.5,6.51,7.04,42800,291975.8,EQNE
2006-12-26,6.14,7.397,6.14,7.2,9200,65709.5,EQNE
2006-12-27,6.94,7.237,6.5,7.227,12600,87705.4,EQNE
2006-12-28,7.1,7.5,6.901,7.0,27200,194751.6,EQNE
2006-12-29,7.051,7.051,7.0,7.0,500,3520.1,EQNE
2007-01-09,6.651,7.0,6.65,6.667,6600,44441.0,EQNE
2007-01-10,7.0,7.0,5.751,6.5,20900,127167.2,EQNE
2007-01-11,6.99,7.0,6.7,6.712,13000,89913.4,EQNE
2007-01-12,6.522,7.176,6.522,7.1,28800,201849.6,EQNE
2007-01-15,7.1,7.628,7.1,7.628,400,2998.3,EQNE
2007-01-17,7.1,7.629,7.1,7.6,6300,47466.9,EQNE
2007-01-18,7.6,7.64,7.2,7.2,12900,98414.5,EQNE
2007-01-19,7.1,7.1,7.01,7.01,1800,12708.0,EQNE
2007-01-22,7.011,7.011,6.8,7.01,3200,22202.8,EQNE
2007-01-23,7.4,7.69,7.4,7.69,10100,76086.3,EQNE
2007-01-24,7.5,7.5,7.475,7.475,200,1497.5,EQNE
2007-01-25,7.5,8.0,7.5,8.0,21600,166538.4,EQNE
2007-01-26,8.1,8.26,7.8,7.8,17100,137328.7,EQNE
2007-01-29,7.504,7.504,7.03,7.03,8400,62324.2,EQNE
2007-01-30,7.1,7.23,7.1,7.2,1600,11519.0,EQNE
2007-01-31,7.3,7.75,7.3,7.74,3700,28160.7,EQNE
2007-02-01,7.5,7.5,7.5,7.5,1500,11250.0,EQNE
2007-02-02,7.7,7.88,7.7,7.88,4400,34212.0,EQNE
2007-02-05,7.55,7.551,7.5,7.551,600,4525.3,EQNE
2007-02-06,7.5,7.5,7.301,7.301,1000,7320.9,EQNE
2007-02-07,7.7,7.7,7.25,7.25,1800,13186.3,EQNE
2007-02-08,7.554,8.498,7.503,8.2,63900,494230.2,EQNE
2007-02-09,8.899,9.8,8.3,8.998,8300,70053.8,EQNE
2007-02-12,7.52,8.8,7.52,8.8,300,2432.0,EQNE
2007-02-15,8.7,8.7,8.7,8.7,100,870.0,EQNE
2007-02-16,7.7,8.698,7.55,8.698,9600,72956.4,EQNE
2007-02-19,8.464,8.599,7.7,8.599,600,4936.3,EQNE
2007-02-21,8.699,10.39,8.51,9.0,18000,159532.4,EQNE
2007-02-22,8.502,9.9,8.501,8.501,7100,62103.1,EQNE
2007-02-26,9.0,9.6,9.0,9.6,4700,44503.9,EQNE
2007-02-27,9.9,9.9,8.611,9.0,7300,66350.9,EQNE
2007-02-28,9.0,9.295,8.8,9.29,16400,145265.0,EQNE
2007-03-01,8.5,9.15,8.1,9.145,3000,24909.5,EQNE
2007-03-02,9.29,9.29,9.29,9.29,1000,9290.0,EQNE
2007-03-07,8.8,8.8,8.8,8.8,3700,32560.0,EQNE
2007-03-09,8.8,8.8,8.8,8.8,2000,17600.0,EQNE
2007-03-12,8.897,8.897,8.897,8.897,1900,16904.3,EQNE
2007-03-13,9.2,9.2,9.0,9.2,6100,55820.0,EQNE
2007-03-20,9.21,9.21,9.21,9.21,1400,12894.0,EQNE
2007-03-21,9.5,9.5,9.399,9.4,6800,63945.5,EQNE
2007-03-22,9.4,9.4,9.4,9.4,1000,9400.0,EQNE
2007-03-23,8.501,8.93,8.301,8.93,900,7706.4,EQNE
2007-03-26,8.9,8.9,8.9,8.9,11900,105910.0,EQNE
2007-03-28,8.6,8.611,8.5,8.6,7700,66118.2,EQNE
2007-03-29,8.897,9.19,8.897,9.19,5500,50256.1,EQNE
2007-03-30,9.0,9.1,9.0,9.05,2300,20805.0,EQNE
2007-04-02,9.09,9.09,9.09,9.09,3000,27270.0,EQNE
2007-04-03,9.0,9.0,9.0,9.0,800,7200.0,EQNE
2007-04-04,8.872,9.0,8.75,9.0,17400,154682.6,EQNE
2007-04-05,9.1,9.1,9.1,9.1,400,3640.0,EQNE
2007-04-06,8.3,8.6,8.3,8.6,43400,373180.0,EQNE
2007-04-09,8.0,8.0,8.0,8.0,400,3200.0,EQNE
2007-04-12,8.0,8.0,8.0,8.0,700,5600.0,EQNE
2007-04-13,8.1,8.1,8.0,8.0,500,4030.0,EQNE
2007-04-18,7.67,7.67,7.651,7.651,10000,76517.8,EQNE
2007-04-19,7.553,8.75,7.552,8.0,6400,51163.8,EQNE
2007-04-20,8.75,8.75,8.5,8.5,400,3475.0,EQNE
2007-04-23,8.5,8.5,8.4,8.4,2700,22750.0,EQNE
2007-04-24,8.31,8.31,8.0,8.0,2600,21317.0,EQNE
2007-04-25,8.0,8.1,8.0,8.1,11000,89000.0,EQNE
2007-04-26,8.15,8.15,8.1,8.15,5300,43180.0,EQNE
2007-04-27,7.65,8.2,7.65,8.2,1200,9290.7,EQNE
2007-04-28,8.4,8.7,8.36,8.36,17200,146473.0,EQNE
2007-05-02,7.75,8.61,7.75,8.61,700,5511.0,EQNE
2007-05-03,8.35,8.41,8.35,8.41,300,2511.0,EQNE
2007-05-04,8.6,9.199,8.6,8.65,9300,84464.4,EQNE
2007-05-07,9.2,9.2,8.5,8.5,1300,11890.0,EQNE
2007-05-08,8.35,8.35,8.35,8.35,100,835.0,EQNE
2007-05-10,8.5,8.749,7.71,8.749,8400,71080.4,EQNE
2007-05-11,8.2,8.672,7.7,8.672,2700,21623.8,EQNE
2007-05-14,8.6,8.641,8.6,8.641,1100,9480.5,EQNE
2007-05-15,9.2,9.2,9.2,9.2,100,920.0,EQNE
2007-05-18,8.35,8.9,8.0,8.9,4200,34410.0,EQNE
2007-05-21,8.7,8.9,8.2,8.35,5900,51055.0,EQNE
2007-05-22,8.5,8.51,8.5,8.5,10500,89255.0,EQNE
2007-05-23,8.15,8.15,8.0,8.0,23500,188117.5,EQNE
2007-05-29,7.7,7.7,7.2,7.2,2300,17565.0,EQNE
2007-06-05,7.5,7.5,7.5,7.5,700,5250.0,EQNE
2007-06-07,7.5,8.4,7.5,8.4,4000,31689.0,EQNE
2007-06-14,8.1,8.1,8.0,8.0,2600,20810.0,EQNE
2007-06-15,8.0,8.0,8.0,8.0,2100,16800.0,EQNE
2007-06-18,8.0,8.0,7.6,7.6,48400,379000.0,EQNE
2007-06-20,7.8,8.0,7.8,8.0,7900,63020.0,EQNE
2007-06-26,8.0,8.0,8.0,8.0,2700,21600.0,EQNE
2007-06-29,7.2,8.1,6.9,8.0,20900,155600.0,EQNE
